"","tanggal","kasus_baru","meninggal","sembuh"
"106",2020-06-15,1017,64,592
"107",2020-06-16,1106,33,580
"108",2020-06-17,1031,45,540
"109",2020-06-18,1331,63,555
"110",2020-06-19,1041,34,551
"111",2020-06-20,1226,56,534
"112",2020-06-21,862,36,521
"113",2020-06-22,954,35,331
"114",2020-06-23,1051,35,506
"115",2020-06-24,1113,38,417
"116",2020-06-25,1178,47,791
"117",2020-06-26,1240,63,884
"118",2020-06-27,1385,37,576
"119",2020-06-28,1198,34,1027
"120",2020-06-29,1082,51,864
"121",2020-06-30,1293,71,1006
"122",2020-07-01,1385,58,789
"123",2020-07-02,1624,53,1072
"124",2020-07-03,1301,49,901
"125",2020-07-04,1447,53,651
"126",2020-07-05,1607,82,886
"127",2020-07-06,1209,70,814
"128",2020-07-07,1268,68,866
"129",2020-07-08,1853,50,800
"130",2020-07-09,2657,58,1066
"131",2020-07-10,1611,52,878
"132",2020-07-11,1671,66,1190
"133",2020-07-12,1681,71,919
"134",2020-07-13,1282,50,1051
"135",2020-07-14,1591,54,947
"136",2020-07-15,1522,87,1414
"137",2020-07-16,1574,76,1295
"138",2020-07-17,1462,84,1489
"139",2020-07-18,1752,59,1434
"140",2020-07-19,1639,127,2133
"141",2020-07-20,1693,96,1576
"142",2020-07-21,1655,81,1489
"143",2020-07-22,1882,139,1789
"144",2020-07-23,1906,117,1909
"145",2020-07-24,1761,89,1781
"146",2020-07-25,1868,49,1409
"147",2020-07-26,1492,67,1301
"148",2020-07-27,1525,57,1518
"149",2020-07-28,1748,63,2366
"150",2020-07-29,2381,74,1599
"151",2020-07-30,1904,83,2154
"152",2020-07-31,2040,73,1615
"153",2020-08-01,1560,62,2012
"154",2020-08-02,1519,43,1056
"155",2020-08-03,1679,66,1262
"156",2020-08-04,1922,86,1813
"157",2020-08-05,1815,64,1839
"158",2020-08-06,1882,69,1756
"159",2020-08-07,2473,72,1912
"160",2020-08-08,2277,65,1749
"161",2020-08-09,1893,65,1646
"162",2020-08-10,1687,42,1284
"163",2020-08-11,1693,59,1474
"164",2020-08-12,1942,79,2088
"165",2020-08-13,2098,65,1760
"166",2020-08-14,2307,53,2060
"167",2020-08-15,2345,50,1703
"168",2020-08-16,2081,79,1782
"169",2020-08-17,1821,57,1355
"170",2020-08-18,1673,70,1848
"171",2020-08-19,1902,69,2351
"172",2020-08-20,2266,72,2017
"173",2020-08-21,2197,82,2317
"174",2020-08-22,2090,94,2207
"175",2020-08-23,2037,86,2302
"176",2020-08-24,1877,79,3560
"177",2020-08-25,2447,99,1807
"178",2020-08-26,2306,86,2542
"179",2020-08-27,2719,120,3166
"180",2020-08-28,3003,105,2325
"181",2020-08-29,3308,92,1902
"182",2020-08-30,2858,82,1383
"183",2020-08-31,2743,74,1774
"184",2020-09-01,2775,88,2098
"185",2020-09-02,3075,111,1914
"186",2020-09-03,3622,134,2084
"187",2020-09-04,3269,82,2126
"188",2020-09-05,3128,108,2220
"189",2020-09-06,3444,85,2174
"190",2020-09-07,2880,105,2077
"191",2020-09-08,3046,100,2306
"192",2020-09-09,3307,106,2242
"193",2020-09-10,3861,120,2310
"194",2020-09-11,3737,88,2707
"195",2020-09-12,3806,106,2241
"196",2020-09-13,3636,73,2552
"197",2020-09-14,3141,118,3395
"198",2020-09-15,3507,124,2660
"199",2020-09-16,3963,135,3036
"200",2020-09-17,3635,122,2585
"201",2020-09-18,3891,114,4088
"202",2020-09-19,4168,112,3576
"203",2020-09-20,3989,105,2977
"204",2020-09-21,4176,124,3470
"205",2020-09-22,4071,160,3501
"206",2020-09-23,4465,140,3660
"207",2020-09-24,4634,128,3895
"208",2020-09-25,4823,113,4343
"209",2020-09-26,4494,90,3207
"210",2020-09-27,3874,78,3611
"211",2020-09-28,3509,87,3856
"212",2020-09-29,4002,128,3567
"213",2020-09-30,4284,139,4510
"214",2020-10-01,4174,116,3540
"215",2020-10-02,4317,116,2853
"216",2020-10-03,4007,83,3712
"217",2020-10-04,3992,96,3401
"218",2020-10-05,3622,102,4140
"219",2020-10-06,4056,121,3844
"220",2020-10-07,4538,98,3854
"221",2020-10-08,4850,108,3769
"222",2020-10-09,4094,97,3607
"223",2020-10-10,4294,88,3814
"224",2020-10-11,4497,79,3546
"225",2020-10-12,3267,91,3492
"226",2020-10-13,3906,92,4777
"227",2020-10-14,4127,129,4555
"228",2020-10-15,4411,112,5810
"229",2020-10-16,4301,79,3883
"230",2020-10-17,4301,84,4048
"231",2020-10-18,4105,80,3732
"232",2020-10-19,3373,106,3919
"233",2020-10-20,3602,117,4410
"234",2020-10-21,4267,123,3856
"235",2020-10-22,4432,102,3497
"236",2020-10-23,4369,118,4094
"237",2020-10-24,4070,128,4119
"238",2020-10-25,3732,94,4545
"239",2020-10-26,3222,112,3908
"240",2020-10-27,3520,101,4576
"241",2020-10-28,4029,100,3545
"242",2020-10-29,3565,89,3985
"243",2020-10-30,2897,81,4517
"244",2020-10-31,3143,87,3506
"245",2020-11-01,2696,74,4141
"246",2020-11-02,2618,101,3624
"247",2020-11-03,2973,102,3931
"248",2020-11-04,3356,113,3785
"249",2020-11-05,4065,89,3860
"250",2020-11-06,3778,94,3563
"251",2020-11-07,4262,98,3712
"252",2020-11-08,3880,74,3881
"253",2020-11-09,2853,75,3968
"254",2020-11-10,3779,72,3475
"255",2020-11-11,3770,75,3241
"256",2020-11-12,4173,97,3102
"257",2020-11-13,5444,104,3010
"258",2020-11-14,5272,111,3000
"259",2020-11-15,4106,63,3897
"260",2020-11-16,3535,85,3452
"261",2020-11-17,3807,97,3193
"262",2020-11-18,4265,110,3711
"263",2020-11-19,4798,97,4265
"264",2020-11-20,4792,78,3940
"265",2020-11-21,4998,96,3403
"266",2020-11-22,4360,110,4233
"267",2020-11-23,4442,118,4198
"268",2020-11-24,4192,109,2927
"269",2020-11-25,5534,114,4494
"270",2020-11-26,4917,127,3842
"271",2020-11-27,5828,169,3807
"272",2020-11-28,5418,125,4527
"273",2020-11-29,6267,169,3810
"274",2020-11-30,4617,130,4725
"275",2020-12-01,5092,136,4361
"276",2020-12-02,5533,118,4001
"277",2020-12-03,8369,156,3673
"278",2020-12-04,5803,124,3625
"279",2020-12-05,6027,110,4271
"280",2020-12-06,6089,151,4322
"281",2020-12-07,5754,127,4431
"282",2020-12-08,5292,133,4295
"283",2020-12-09,6058,171,3948
"284",2020-12-10,6033,165,4530
"285",2020-12-11,6310,175,4911
"286",2020-12-12,6388,142,4490
"287",2020-12-13,6189,166,4460
"288",2020-12-14,5489,137,5121
"289",2020-12-15,6120,155,5699
"290",2020-12-16,6725,137,5328
"291",2020-12-17,7354,142,4995
"292",2020-12-18,6689,124,5016
"293",2020-12-19,7751,145,4265
"294",2020-12-20,6982,221,5551
"295",2020-12-21,6848,205,5073
"296",2020-12-22,6347,172,5838
"297",2020-12-23,7514,151,5981
"298",2020-12-24,7199,181,5277
"299",2020-12-25,7259,258,6324
"300",2020-12-26,6740,147,6389
"301",2020-12-27,6528,243,6983
"302",2020-12-28,5854,215,6302
"303",2020-12-29,7903,251,6805
"304",2020-12-30,8002,241,6958
"305",2020-12-31,8074,194,7356
"306",2021-01-01,8072,191,6839
